Prognosis,Symptoms
Neurofibromatosis,"abdominal distention, abnormal breathing sounds, difficulty speaking, foot or toe cramps or spasms, frontal headache, hand or finger weakness, impotence, leg stiffness or tightness, leg swelling, mass on eyelid, neck cramps or spasms, vulvar sore"
Chickenpox,"abdominal distention, abusing alcohol, coryza, eye moves abnormally, feet turned in, irregular heartbeat, itching of scrotum, pain in gums, premenstrual tension or irritability, skin irritation, skin pain, skin rash"
Pancreatic cancer,"abusing alcohol, arm stiffness or tightness, congestion in chest, diaper rash, elbow stiffness or tightness, fainting, irregular appearing nails, itchy scalp, nasal congestion, seizures, stiffness all over, vomiting"
Neuropathy due to drugs,"coryza, eyelid swelling, fainting, foot or toe lump or mass, hand or finger lump or mass, long menstrual periods, nasal congestion, palpitations, problems during pregnancy, seizures, vaginal redness, warts"
Croup,"abnormal appearing tongue, constipation, coryza, diarrhea, feet turned in, hip weakness, nailbiting, problems with shape or size of breast, sharp chest pain, sore in nose, vaginal redness, weight gain"
Idiopathic excessive menstruation,"blindness, coughing up sputum, foreign body sensation in eye, heartburn, insomnia, intermenstrual bleeding, lip swelling, pain or soreness of breast, paresthesia, seizures, underweight, vaginal bleeding after menopause"
Amblyopia,"abnormal involuntary movements, cramps and spasms, diminished hearing, eye burns or stings, eye deviation, foot or toe weakness, irritable infant, neck pain, pain during pregnancy, pupils unequal, sore throat, wheezing"
Meckel diverticulum,"back weakness, excessive appetite, eye redness, joint pain, knee cramps or spasms, loss of sensation, low urine output, nausea, pelvic pain, shoulder stiffness or tightness, unwanted hair, vulvar irritation"
Dislocation of the wrist,"arm lump or mass, arm pain, delusions or hallucinations, elbow lump or mass, elbow swelling, eye redness, feeling hot, hand or finger lump or mass, hand or finger stiffness or tightness, muscle weakness, wrist lump or mass, wrist swelling"
Ear drum damage,"bladder mass, coryza, difficulty speaking, dry or flaky scalp, flatulence, flu-like syndrome, nailbiting, peripheral edema, problems with shape or size of breast, pupils unequal, rectal bleeding, rib pain"
Erectile dysfunction,"blood in stool, excessive growth, frequent menstruation, hysterical behavior, intermenstrual bleeding, loss of sensation, obsessions and compulsions, pain in gums, penile discharge, posture problems, restlessness, symptoms of infants"
Temporary or benign blood in urine,"back mass or lump, blood in stool, frequent menstruation, intermenstrual bleeding, low urine output, painful sinuses, redness in or around nose, restlessness, seizures, shoulder weakness, stuttering or stammering, swollen tongue"
Onychomycosis,"abdominal distention, depressive or psychotic symptoms, foot or toe lump or mass, involuntary urination, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin on head or neck looks infected, skin pain, skin rash, tongue pain"
Urethral disorder,"absence of menstruation, blood in stool, frequent menstruation, intermenstrual bleeding, painful sinuses, paresthesia, restlessness, seizures, shoulder weakness, stuttering or stammering, swollen tongue, vaginal redness"
Lyme disease,"abdominal distention, chest tightness, depression, fainting, feet turned in, hand or finger lump or mass, hand or finger weakness, hip lump or mass, jaw swelling, long menstrual periods, skin pain, symptoms of prostate"
Iron deficiency anemia,"abnormal size or shape of ear, blood clots during menstrual periods, disturbance of smell or taste, fainting, headache, heartburn, insomnia, mass or swelling around the anus, recent weight loss, redness in or around nose, warts, weakness"
Acute respiratory distress syndrome (ARDS),"changes in stool appearance, chest tightness, cloudy eye, coryza, cough, depression, diarrhea, feet turned in, hot flashes, sharp abdominal pain, sharp chest pain, weight gain"
Toxic multinodular goiter,"abnormal breathing sounds, abnormal involuntary movements, dizziness, fainting, foot or toe weakness, intermenstrual bleeding, irregular belly button, lacrimation, neck stiffness or tightness, side pain, sore throat, suprapubic pain"
Autonomic nervous system disorder,"back mass or lump, cross-eyed, difficulty eating, disturbance of smell or taste, facial pain, fainting, hand or finger weakness, leg lump or mass, long menstrual periods, penis redness, pulling at ears, skin irritation"
Psychosexual disorder,"delusions or hallucinations, fainting, fatigue, hysterical behavior, intermenstrual bleeding, knee lump or mass, loss of sensation, muscle cramps, contractures, or spasms, obsessions and compulsions, posture problems, problems with movement, symptoms of infants"
Anemia,"change in skin mole size or color, disturbance of smell or taste, fainting, heartburn, mass or swelling around the anus, nose deformity, pus in urine, sharp chest pain, tongue pain, underweight, vomiting, warts"
Tendinitis,"allergic reaction, arm lump or mass, elbow lump or mass, foot or toe lump or mass, hand or finger lump or mass, hand or finger stiffness or tightness, hip lump or mass, jaw swelling, knee lump or mass, leg lump or mass, shoulder lump or mass, wrist lump or mass"
Common cold,"chest tightness, cloudy eye, constipation, coryza, dry or flaky scalp, feet turned in, flatulence, hand or finger weakness, nailbiting, sore in nose, vaginal redness, weight gain"
Amyotrophic lateral sclerosis (ALS),"abnormal breathing sounds, back mass or lump, difficulty eating, difficulty in swallowing, fainting, hand or finger swelling, lacrimation, leg lump or mass, leg swelling, muscle swelling, problems during pregnancy, warts"
Paroxysmal supraventricular tachycardia,"bedwetting, changes in stool appearance, disturbance of smell or taste, incontinence of stool, intermenstrual bleeding, irregular belly button, pallor, sharp abdominal pain, sharp chest pain, suprapubic pain, symptoms of prostate, warts"
Venous insufficiency,"abdominal distention, ankle stiffness or tightness, burning abdominal pain, fluid in ear, lacrimation, leg lump or mass, leg stiffness or tightness, lump over jaw, penis redness, polyuria, skin irritation, skin on head or neck looks infected"
Trichomonas infection,"bumps on penis, low urine output, nasal congestion, pain during intercourse, painful sinuses, paresthesia, seizures, shoulder weakness, underweight, vaginal bleeding after menopause, vaginal dryness, vaginal redness"
Acne,"abdominal distention, ache all over, irregular appearing nails, lip swelling, nightmares, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin lesion, skin pain, skin rash, tongue pain, vulvar sore"
Depression,"absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, discharge in stools, drainage in throat, emotional symptoms, hoarse voice, infrequent menstruation, low back weakness, symptoms of the scrotum and testes"
Drug abuse,"absence of menstruation, ankle weakness, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, fatigue, hoarse voice, slurring words, suprapubic pain"
Urinary tract obstruction,"back mass or lump, blood in stool, excessive growth, frequent menstruation, intermenstrual bleeding, painful sinuses, restlessness, seizures, shoulder weakness, stuttering or stammering, swollen tongue, symptoms of infants"
Diabetes insipidus,"coryza, difficulty eating, disturbance of smell or taste, early or late onset of menopause, elbow swelling, elbow weakness, excessive anger, frequent menstruation, hip pain, itchy ear(s), muscle weakness, wrist swelling"
Iridocyclitis,"chills, diminished hearing, excessive urination at night, eye moves abnormally, foot or toe weakness, hand or finger weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, swollen abdomen, symptoms of bladder"
Varicocele of the testicles,"groin mass, hysterical behavior, infant spitting up, intermenstrual bleeding, low urine output, lymphedema, pain in gums, pain in testicles, penile discharge, skin dryness, peeling, scaliness, or roughness, sweating, symptoms of the kidneys"
Irritable bowel syndrome,"antisocial behavior, bumps on penis, congestion in chest, diaper rash, fever, infrequent menstruation, low urine output, nasal congestion, recent weight loss, redness in or around nose, seizures, unwanted hair"
Ovarian cyst,"bumps on penis, coughing up sputum, insomnia, low urine output, nasal congestion, pain or soreness of breast, paresthesia, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, vaginal bleeding after menopause, vaginal redness"
Chlamydia,"frequent menstruation, groin mass, itching of scrotum, low urine output, painful sinuses, paresthesia, pelvic pressure, penile discharge, seizures, vaginal bleeding after menopause, vaginal dryness, vaginal itching"
Parasitic disease,"abdominal distention, coryza, cough, feet turned in, hand or finger stiffness or tightness, itching of scrotum, painful menstruation, restlessness, seizures, skin pain, swollen eye, vaginal itching"
Fracture of the jaw,"bleeding from eye, bleeding gums, blood in urine, eyelid swelling, groin pain, jaw pain, mouth dryness, pain during pregnancy, penis redness, rectal bleeding, skin growth, swollen abdomen"
Cytomegalovirus infection,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Lipoma,"abdominal distention, arm cramps or spasms, back cramps or spasms, blood in urine, frontal headache, leg cramps or spasms, lump in throat, neck cramps or spasms, shoulder cramps or spasms, skin dryness, peeling, scaliness, or roughness, skin irritation, skin rash"
Female genitalia infection,"feet turned in, groin mass, mass on eyelid, paresthesia, skin dryness, peeling, scaliness, or roughness, skin irritation, skin rash, spots or clouds in vision, vaginal bleeding after menopause, vaginal itching, vomiting blood, vulvar irritation"
Pulmonary hypertension,"anxiety and nervousness, coryza, diarrhea, fainting, feeling hot and cold, heavy menstrual flow, hot flashes, pallor, penis redness, sharp abdominal pain, sharp chest pain, weight gain"
Thyroid nodule,"abnormal involuntary movements, back swelling, difficulty eating, difficulty speaking, fainting, hip weakness, lower body pain, neck cramps or spasms, neck stiffness or tightness, skin swelling, thirst, weakness"
Broken tooth,"bleeding from eye, bleeding gums, difficulty breathing, drug abuse, eyelid swelling, groin pain, lip sore, lump or mass of breast, mouth dryness, penis redness, sleepwalking, too little hair"
Dumping syndrome,"diaper rash, dry or flaky scalp, excessive appetite, fainting, hand or finger weakness, itchy ear(s), knee cramps or spasms, nasal congestion, unwanted hair, vaginal redness, vulvar irritation, weakness"
Lymphadenitis,"coryza, dry or flaky scalp, feet turned in, hand or finger weakness, neck cramps or spasms, neck mass, neck stiffness or tightness, seizures, skin rash, sore in nose, swollen eye, vaginal redness"
Injury to the face,"bladder mass, bleeding gums, difficulty speaking, dry or flaky scalp, eyelid swelling, hand or finger weakness, mouth dryness, neck mass, neck pain, nose deformity, redness in ear, swollen abdomen"
Aortic valve disease,"diarrhea, facial pain, fainting, frontal headache, incontinence of stool, irregular belly button, lacrimation, lump over jaw, pallor, penis redness, sharp abdominal pain, sharp chest pain"
Rheumatoid arthritis,"abusing alcohol, elbow stiffness or tightness, hand or finger lump or mass, hand or finger stiffness or tightness, hand or finger swelling, jaw swelling, joint stiffness or tightness, knee lump or mass, penis redness, spotting or bleeding during pregnancy, wrist lump or mass, wrist stiffness or tightness"
Spermatocele,"elbow swelling, frequent menstruation, groin mass, hysterical behavior, leg cramps or spasms, low back swelling, lymphedema, muscle stiffness or tightness, pain in gums, restlessness, skin dryness, peeling, scaliness, or roughness, sweating"
Impetigo,"abdominal distention, coryza, feet turned in, itching of scrotum, mouth pain, nailbiting, penis redness, skin irritation, skin on arm or hand looks infected, skin pain, skin rash, sneezing"
Hypothermia,"depression, elbow swelling, elbow weakness, facial pain, feeling hot, leg pain, leg stiffness or tightness, long menstrual periods, skin pain, vaginal redness, warts, wrist swelling"
Diabetic peripheral neuropathy,"foot or toe lump or mass, foot or toe pain, foot or toe stiffness or tightness, gum pain, leg lump or mass, long menstrual periods, lump over jaw, palpitations, polyuria, problems during pregnancy, skin irritation, skin on head or neck looks infected"
Testicular disorder,"emotional symptoms, excessive growth, fainting, hip weakness, hysterical behavior, loss of sensation, lymphedema, pain in gums, redness in or around nose, skin lesion, symptoms of infants, symptoms of the kidneys"
Hidradenitis suppurativa,"ache all over, arm cramps or spasms, arm lump or mass, arm stiffness or tightness, frontal headache, lower abdominal pain, lump in throat, skin dryness, peeling, scaliness, or roughness, skin irritation, skin oiliness, skin pain, skin rash"
Valley fever,"abusing alcohol, back mass or lump, chest tightness, fainting, feet turned in, hand or finger lump or mass, hip pain, hot flashes, jaw swelling, sharp chest pain, shoulder stiffness or tightness, vulvar irritation"
Conjunctivitis due to bacteria,"abdominal distention, constipation, coryza, dry or flaky scalp, eye moves abnormally, feet turned in, irritable infant, nailbiting, pain during pregnancy, sore in nose, symptoms of bladder, wheezing"
Lewy body dementia,"abnormal breathing sounds, decreased heart rate, depression, discharge in stools, disturbance of smell or taste, hoarse voice, long menstrual periods, palpitations, problems during pregnancy, recent weight loss, scanty menstrual flow, warts"
Marfan syndrome,"abusing alcohol, antisocial behavior, blood clots during menstrual periods, delusions or hallucinations, elbow weakness, flushing, headache, incontinence of stool, itching of skin, shoulder lump or mass, skin rash, stiffness all over"
Multiple myeloma,"chest tightness, discharge in stools, fainting, hesitancy, hysterical behavior, lip sore, muscle cramps, contractures, or spasms, problems during pregnancy, spotting or bleeding during pregnancy, swelling of scrotum, symptoms of prostate, warts"
Stomach cancer,"bumps on penis, congestion in chest, diaper rash, difficulty eating, fainting, fluid in ear, headache, nasal congestion, penis redness, seizures, vaginal redness, warts"
Developmental disability,"ankle weakness, decreased heart rate, depression, difficulty in swallowing, emotional symptoms, fatigue, hoarse voice, knee weakness, nosebleed, regurgitation, scanty menstrual flow, symptoms of the scrotum and testes"
Acute stress reaction,"abnormal breathing sounds, antisocial behavior, bumps on penis, changes in stool appearance, delusions or hallucinations, depression, disturbance of smell or taste, fainting, hand or finger weakness, infrequent menstruation, sharp abdominal pain, sharp chest pain"
Delirium,"abnormal breathing sounds, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, discharge in stools, disturbance of memory, flushing, hoarse voice, hurts to breath, problems during pregnancy, sleepwalking"
Callus,"abdominal distention, ache all over, foot or toe lump or mass, foot or toe stiffness or tightness, involuntary urination, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain, skin rash, vulvar sore"
Guillain Barre syndrome,"abusing alcohol, difficulty in swallowing, disturbance of smell or taste, eyelid swelling, feet turned in, hand or finger lump or mass, leg lump or mass, leg swelling, long menstrual periods, palpitations, problems during pregnancy, warts"
Deviated nasal septum,"abnormal appearing tongue, acne or pimples, anxiety and nervousness, diarrhea, eyelid swelling, frequent urination, hand or finger weakness, nailbiting, nose deformity, painful menstruation, peripheral edema, sore in nose"
Hemangioma,"abdominal distention, involuntary urination, irregular appearing nails, lip sore, lump over jaw, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin rash, vulvar sore"
Patau syndrome,"back weakness, excessive appetite, eye redness, joint pain, knee cramps or spasms, loss of sensation, muscle weakness, nausea, pelvic pain, shortness of breath, shoulder stiffness or tightness, vulvar irritation"
Chronic back pain,"arm weakness, back mass or lump, back pain, groin mass, hip lump or mass, leg lump or mass, leg swelling, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, shoulder weakness"
Heart failure,"changes in stool appearance, coryza, diarrhea, fluid in ear, hot flashes, leg stiffness or tightness, pallor, penis redness, sharp abdominal pain, sharp chest pain, warts, weakness"
Conjunctivitis,"constipation, coryza, eye moves abnormally, feet turned in, irritable infant, lack of growth, nailbiting, pain during pregnancy, sore in nose, swollen abdomen, symptoms of bladder, wheezing"
Herniated disk,"arm lump or mass, arm swelling, back mass or lump, hip lump or mass, leg lump or mass, leg swelling, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, palpitations, shoulder lump or mass"
Rhabdomyolysis,"abusing alcohol, arm lump or mass, depression, fainting, hand or finger weakness, hip weakness, leg lump or mass, long menstrual periods, penis redness, sharp abdominal pain, vaginal redness, warts"
Breast infection (mastitis),"abdominal distention, bleeding in mouth, blood in urine, chest tightness, feet turned in, lip swelling, lump in throat, melena, pain of the anus, poor circulation, pus in urine, skin dryness, peeling, scaliness, or roughness"
Abdominal aortic aneurysm,"arm stiffness or tightness, back mass or lump, bumps on penis, groin mass, painful urination, pallor, restlessness, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness, swelling of scrotum"
Pulmonary embolism,"back mass or lump, changes in stool appearance, coryza, diarrhea, heavy menstrual flow, leg lump or mass, leg stiffness or tightness, sharp abdominal pain, sharp chest pain, shoulder weakness, suprapubic pain, warts"
Conduct disorder,"absence of menstruation, decreased heart rate, delusions or hallucinations, depression, emotional symptoms, facial pain, hoarse voice, hurts to breath, knee weakness, regurgitation, scanty menstrual flow, symptoms of the scrotum and testes"
Air embolism,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Mastectomy,"arm pain, burning abdominal pain, hand or finger pain, headache, lacrimation, lump in throat, pain of the anus, problems with orgasm, redness in or around nose, skin rash, slurring words, swollen eye"
Epididymitis,"blood in stool, groin mass, low urine output, lower abdominal pain, lymphedema, pain in gums, painful sinuses, restlessness, seizures, shoulder weakness, sweating, swelling of scrotum"
Premature rupture of amniotic membrane,"abnormal movement of eyelid, back swelling, constipation, elbow swelling, feet turned in, low back swelling, muscle stiffness or tightness, scanty menstrual flow, seizures, spots or clouds in vision, upper abdominal pain, weakness"
Molluscum contagiosum,"abdominal distention, ache all over, arm cramps or spasms, breathing fast, itching of scrotum, knee cramps or spasms, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain, skin rash, vulvar sore"
Necrotizing fasciitis,"abdominal distention, arm stiffness or tightness, early or late onset of menopause, elbow swelling, excessive appetite, hand or finger lump or mass, hip lump or mass, leg lump or mass, leg stiffness or tightness, penis redness, skin irritation, vaginal itching"
Benign vaginal discharge (leukorrhea),"bumps on penis, frequent menstruation, pain during intercourse, painful sinuses, paresthesia, premenstrual tension or irritability, seizures, stuttering or stammering, vaginal bleeding after menopause, vaginal dryness, vaginal itching, vaginal pain"
Bladder obstruction,"back weakness, blood in stool, excessive growth, frequent menstruation, hemoptysis, hysterical behavior, intermenstrual bleeding, penis redness, restlessness, stuttering or stammering, swollen tongue, symptoms of infants"
Melanoma,"abdominal distention, back cramps or spasms, irregular appearing nails, itchy ear(s), sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin oiliness, skin rash, swollen eye"
Cervical disorder,"flushing, hostile behavior, insomnia, obsessions and compulsions, pain or soreness of breast, painful sinuses, paresthesia, seizures, uterine contractions, vaginal bleeding after menopause, vaginal dryness, vaginal itching"
Laryngitis,"acne or pimples, constipation, coryza, difficulty eating, difficulty in swallowing, dry or flaky scalp, feet turned in, hip weakness, nailbiting, side pain, sore in nose, thirst"
Dyshidrosis,"abdominal distention, ache all over, allergic reaction, back mass or lump, dry lips, foot or toe cramps or spasms, frequent menstruation, itching of scrotum, sinus congestion, skin irritation, skin on head or neck looks infected, skin pain"
Poisoning due to opioids,"absence of menstruation, arm lump or mass, arm swelling, depression, difficulty in swallowing, disturbance of smell or taste, drainage in throat, feeling hot and cold, problems during pregnancy, skin swelling, sleepwalking, vaginal redness"
Diaper rash,"blood clots during menstrual periods, coryza, depressive or psychotic symptoms, diaper rash, feet turned in, irregular heartbeat, nailbiting, problems with shape or size of breast, rectal bleeding, skin pain, symptoms of the scrotum and testes, vaginal redness"
Lichen planus,"abdominal distention, ache all over, difficulty in swallowing, irregular appearing nails, itching of scrotum, itchy eyelid, mouth pain, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, skin pain"
Gastroduodenal ulcer,"blood clots during menstrual periods, bumps on penis, change in skin mole size or color, hand or finger weakness, headache, mass or swelling around the anus, nasal congestion, seizures, sharp abdominal pain, unwanted hair, vaginal redness, vomiting"
Eczema,"abdominal distention, ache all over, acne or pimples, coryza, irregular appearing nails, itching of scrotum, sinus congestion, skin growth, skin irritation, skin pain, skin rash, vulvar sore"
Asperger syndrome,"ankle weakness, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, emotional symptoms, facial pain, hoarse voice, knee weakness, neck weakness, nosebleed, symptoms of the scrotum and testes"
Mucositis,"cross-eyed, difficulty eating, feet turned in, groin pain, irregular heartbeat, mouth dryness, mouth pain, sore in nose, swollen or red tonsils, tongue bleeding, tongue lesions, vaginal redness"
Paronychia,"abdominal distention, foot or toe lump or mass, foot or toe stiffness or tightness, hand or finger cramps or spasms, hand or finger lump or mass, hand or finger stiffness or tightness, involuntary urination, muscle weakness, side pain, sinus congestion, skin oiliness, skin on head or neck looks infected"
White blood cell disease,"chest tightness, coryza, diaper rash, fainting, feet turned in, fluid in ear, headache, mouth dryness, nasal congestion, seizures, vaginal redness, warts"
Kaposi sarcoma,"coryza, delusions or hallucinations, early or late onset of menopause, elbow swelling, excessive appetite, foot or toe lump or mass, leg lump or mass, lip sore, low back swelling, seizures, skin irritation, toothache"
Spondylolisthesis,"back mass or lump, hip lump or mass, lacrimation, leg lump or mass, leg swelling, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, pain of the anus, palpitations, problems during pregnancy"
Pseudotumor cerebri,"abnormal breathing sounds, difficulty speaking, diminished hearing, disturbance of smell or taste, fluid in ear, hand or finger weakness, hostile behavior, pain during pregnancy, redness in or around nose, skin rash, sleepwalking, sore throat"
Conjunctivitis due to virus,"constipation, coryza, diminished hearing, excessive urination at night, eye moves abnormally, feet turned in, irritable infant, lack of growth, nailbiting, pain during pregnancy, swollen abdomen, wheezing"
Ascending cholangitis,"diaper rash, feet turned in, itchy scalp, nasal congestion, painful sinuses, restlessness, seizures, sharp chest pain, stiffness all over, unwanted hair, vaginal dryness, vaginal redness"
Idiopathic irregular menstrual cycle,"blindness, coughing up sputum, foreign body sensation in eye, heartburn, infant spitting up, insomnia, lip swelling, low urine output, pain or soreness of breast, paresthesia, seizures, underweight"
Interstitial lung disease,"abnormal appearing tongue, constipation, coryza, diarrhea, dry or flaky scalp, feet turned in, hand or finger weakness, nailbiting, sharp chest pain, skin swelling, sore in nose, weight gain"
Mononeuritis,"allergic reaction, arm lump or mass, elbow lump or mass, foot or toe lump or mass, hand or finger lump or mass, hand or finger swelling, leg lump or mass, long menstrual periods, low back cramps or spasms, palpitations, shoulder lump or mass, wrist lump or mass"
Malaria,"abusing alcohol, back mass or lump, excessive appetite, facial pain, feet turned in, hand or finger weakness, itchy ear(s), knee cramps or spasms, vaginal redness, vulvar irritation, warts, wrist swelling"
Somatization disorder,"abusing alcohol, antisocial behavior, delusions or hallucinations, depression, diarrhea, disturbance of smell or taste, facial pain, fainting, feeling hot and cold, infrequent menstruation, seizures, warts"
Hypovolemia,"cross-eyed, diaper rash, disturbance of smell or taste, facial pain, feeling hot and cold, feet turned in, fluid in ear, hand or finger weakness, nasal congestion, seizures, vaginal redness, warts"
Schizophrenia,"antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, fatigue, hoarse voice, hurts to breath, infrequent menstruation, low back weakness, symptoms of the scrotum and testes"
Endocarditis,"chest tightness, disturbance of smell or taste, fainting, incontinence of stool, irregular belly button, leg stiffness or tightness, lower abdominal pain, pain of the anus, pallor, sharp abdominal pain, sharp chest pain, warts"
Sepsis,"chest tightness, coryza, cross-eyed, depression, diarrhea, feeling hot and cold, feet turned in, seizures, sharp chest pain, stuttering or stammering, vaginal redness, warts"
Heat stroke,"chest tightness, disturbance of smell or taste, facial pain, feeling cold, feeling hot and cold, feet turned in, leg lump or mass, long menstrual periods, muscle weakness, nasal congestion, pallor, vaginal redness"
Cholecystitis,"back mass or lump, bumps on penis, lower abdominal pain, nasal congestion, redness in or around nose, seizures, sharp abdominal pain, shoulder weakness, stiffness all over, symptoms of the face, unwanted hair, vaginal redness"
Cardiac arrest,"arm stiffness or tightness, decreased appetite, diarrhea, flushing, hot flashes, incontinence of stool, irregular belly button, painful urination, pallor, sharp abdominal pain, sharp chest pain, warts"
Cardiomyopathy,"changes in stool appearance, decreased appetite, excessive growth, fainting, headache, irregular belly button, muscle swelling, pallor, penis redness, sharp abdominal pain, sharp chest pain, weakness"
Social phobia,"absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, emotional symptoms, excessive anger, fatigue, infrequent menstruation, low back weakness, nosebleed, symptoms of the scrotum and testes"
Meningitis,"abusing alcohol, back mass or lump, coryza, feet turned in, hand or finger weakness, leg lump or mass, low back cramps or spasms, nasal congestion, neck mass, neck pain, scanty menstrual flow, vaginal redness"
Spherocytosis,"coryza, early or late onset of menopause, elbow swelling, excessive appetite, feet turned in, itchy scalp, leg lump or mass, low back swelling, neck mass, seizures, skin pain, wrist swelling"
Hormone disorder,"ache all over, excessive appetite, frequent urination, hand or finger weakness, hostile behavior, knee weakness, loss of sensation, lump in throat, pain or soreness of breast, symptoms of bladder, underweight, weakness"
Raynaud disease,"abdominal distention, abusing alcohol, back mass or lump, hand or finger lump or mass, hand or finger stiffness or tightness, long menstrual periods, muscle cramps, contractures, or spasms, palpitations, polyuria, skin irritation, symptoms of bladder, wrist stiffness or tightness"
Reactive arthritis,"abusing alcohol, back mass or lump, excessive appetite, hip lump or mass, knee cramps or spasms, knee lump or mass, loss of sensation, muscle weakness, nausea, shoulder stiffness or tightness, vulvar irritation, wrist swelling"
Scabies,"abdominal distention, depressive or psychotic symptoms, foot or toe stiffness or tightness, itching of scrotum, itchy eyelid, pain in eye, penis pain, premenstrual tension or irritability, sinus congestion, skin pain, skin rash, underweight"
Ear wax impaction,"coryza, difficulty speaking, dry or flaky scalp, feet turned in, flu-like syndrome, nailbiting, painful menstruation, peripheral edema, problems with shape or size of breast, rectal bleeding, rib pain, side pain"
Peripheral arterial embolism,"abdominal distention, foot or toe lump or mass, groin mass, knee stiffness or tightness, leg lump or mass, leg pain, leg stiffness or tightness, lip swelling, long menstrual periods, lump over jaw, palpitations, polyuria"
Rosacea,"abdominal distention, ache all over, itching of scrotum, lump over jaw, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, skin pain, skin rash, symptoms of bladder, vulvar sore"
Fracture of the skull,"depression, difficulty speaking, drainage in throat, eyelid swelling, facial pain, hand or finger weakness, nasal congestion, neck mass, nose deformity, rib pain, symptoms of prostate, vaginal redness"
Uveitis,"cramps and spasms, diminished hearing, early or late onset of menopause, elbow swelling, eye moves abnormally, hip pain, itchy ear(s), muscle weakness, symptoms of bladder, unwanted hair, vulvar irritation, wrist swelling"
Fracture of the facial bones,"absence of menstruation, difficulty breathing, dizziness, eyelid swelling, hand or finger weakness, heavy menstrual flow, lip sore, nose deformity, pain during pregnancy, penis redness, redness in ear, swollen abdomen"
Tracheitis,"constipation, coryza, diarrhea, dry or flaky scalp, feet turned in, hand or finger weakness, hip weakness, nailbiting, peripheral edema, sharp chest pain, smoking problems, sore in nose"
Jaw disorder,"difficulty eating, eyelid swelling, groin pain, hand or finger weakness, jaundice, jaw pain, mouth dryness, neck cramps or spasms, pain in eye, penis redness, symptoms of prostate, too little hair"
Perirectal infection,"abdominal distention, ache all over, fluid in ear, lower abdominal pain, mass on vulva, pain in gums, pain in testicles, recent weight loss, skin dryness, peeling, scaliness, or roughness, skin irritation, skin rash, sweating"
Post-traumatic stress disorder (PTSD),"absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, fatigue, hoarse voice, infrequent menstruation, low back weakness, symptoms of the scrotum and testes"
Kidney cancer,"back weakness, blood in stool, change in skin mole size or color, double vision, excessive growth, frontal headache, incontinence of stool, intermenstrual bleeding, joint swelling, restlessness, symptoms of infants, symptoms of the face"
Vulvar cancer,"abnormal breathing sounds, abusing alcohol, back mass or lump, elbow swelling, elbow weakness, feeling hot and cold, fluid in ear, infrequent menstruation, lump in throat, paresthesia, penis redness, warts"
Blepharitis,"diminished hearing, excessive urination at night, eye moves abnormally, eye strain, eyelid retracted, irritable infant, lack of growth, pain during pregnancy, sore throat, swollen abdomen, symptoms of bladder, wheezing"
Celiac disease,"acne or pimples, congestion in chest, diaper rash, fainting, fatigue, leg cramps or spasms, nasal congestion, penis redness, redness in or around nose, seizures, sharp abdominal pain, vaginal redness"
Cystitis,"back mass or lump, blood in stool, frequent menstruation, intermenstrual bleeding, low urine output, painful sinuses, paresthesia, restlessness, seizures, shoulder weakness, stuttering or stammering, swollen tongue"
Sickle cell anemia,"abusing alcohol, back mass or lump, drug abuse, feet turned in, irregular appearing scalp, jaw swelling, leg lump or mass, mouth ulcer, penile discharge, problems with shape or size of breast, swollen or red tonsils, symptoms of the scrotum and testes"
